year,to_country_id,to_country,performer,song,place_contest,sf_num,running_final,running_sf,place_final,points_final,place_sf,points_sf,points_tele_final,points_jury_final,points_tele_sf,points_jury_sf,composers,lyricists,lyrics,youtube_url,gender,,,,,,,,,,,,,
1956,ch,Switzerland,Lys Assia,Refrain,2,,2,,2,,,,,,,,Georg Benz Stahl,,"(Refrain d'amour...)\n\nRefrain, couleur du ciel, parfum de mes vingt ans\nJardin plein de soleil o� je courais enfant\nPartout je t'ai cherch�, mon amoureux lointain\nGuettant par les sentiers o� tu prenais ma main\n\nLes jours s'en sont all�s et nous avons grandi\nL'amour nous a bless�s, le temps nous a gu�ris\nMais seule et sans printemps\nJe cours en vain les bois, les champs\nDis, souviens-toi nos amours d'autrefois?\n\nLes ann�es passent � tire-d'aile\nEt sur les toits de mon ennui coule la pluie\nO� sont parties les caravelles, volant mon c�ur\nPortant mes r�ves vers ton oubli?\nJ'aurais voulu que tu reviennes comme jadis\nPorter des fleurs � ma persienne\nEt ta jeunesse en mon logis\n\nRefrain, couleur de pluie, regret de mes vingt ans\nChagrin, m�lancolie de n'�tre plus enfant\nMais seule et loin de toi, par les chemins o� tu n'es pas\nJe vais, pleurant mes amours de vingt ans",https://youtube.com/watch?v=IyqIPvOkiRk,female,,,,,,,,,,,,,
1956,nl,Netherlands,Jetty Paerl,De Vogels Van Holland,2,,1,,2,,,,,,,,Cor Lemaire,Annie M. G. Schmidt,"De vogels van Holland zijn zo muzikaal\nZe leren in hun prille jeugd al tierelieren\nDe merel, de lijster en de nachtegaal\nOm zo de lent' in Holland goed te kunnen vieren\n\n't Is geen wonder, want nergens zijn de plassen zo blauw\nAls in Holland, mijnheer\nAls in Holland, mevrouw\n't Is geen wonder, want nergens is het gras zo vol dauw\nZijn de meisjes zo lief, zijn de meisjes zo trouw\nEn daarom zijn de vogels hier allemaal\nZo muzikaal\nZo muzikaal\nZo muzikaal\n\nDe hele wereld door heb ik vogels horen zingen\nIn het zuiden, in het westen, in het noorden\nIn vele verre landen heb ik vogels horen zingen\nZij zingen kleine liedjes zonder woorden\n\nDe Franse vogels zingen tudeludelu\nJapanse vogels zingen tudeludelu\nChinese vogels zingen tudeludelu\nMaar de vogels zingen nergens zo gelukkig en blij\nAls in Holland in het voorjaar in de wei\n\nDe vogels van Holland zijn zo muzikaal\nZe leren in hun prille jeugd al tierelieren\nDe merel, de lijster en de nachtegaal\nOm zo de lent' in Holland goed te kunnen vieren\n\n't Is geen wonder, want nergens zijn de plassen zo blauw\nAls in Holland, mijnheer\nAls in Holland, mevrouw\n't Is geen wonder want nergens is het gras zo vol dauw\nZijn de meisjes zo lief, zijn de meisjes zo trouw\nEn daarom zijn de vogels hier allemaal\nZo muzikaal\nZo muzikaal\nZo muzikaal",https://youtube.com/watch?v=u45UQVGRVPA,female,,,,,,,,,,,,,
1956,be,Belgium,Fud Leclerc,Messieurs Les Noy�s De La Seine,2,,3,,2,,,,,,,,Jacques Say,Jean Miret,Robert Montal,"Messieurs les noy�s de la Seine\nOuvrez-moi les portes de l'eau\nJe suis fatigu� d'user mes semaines\nSur le pav� noir de Puteaux\n\nMessieurs les noy�s de la Seine\nOuvrez-moi les portes de l'eau\nJ'ai tant voyag� sous son ciel de laine\nQue le vent m'a br�l� la peau\n\nJe suis depuis toujours mari� � la mis�re\nJe n'ai connu l'amour que sur un lit de pierre\nLe soleil pour les riches, la lune pour les gueux\nPourquoi, si tout le monde triche, jouer encore le jeu?\n\nMessieurs les noy�s de la Seine\nOuvrez-moi les portes de l'eau\nJe suis fatigu� de n'avoir pour ciel\nQue les ponts rouill�s de Puteaux\n\nMessieurs les noy�s de la Seine\nJ'ai tant regard� les bateaux\nQue d'Aubervilliers jusqu'� Bourg-la-Reine\nJe porte Paris sur mon dos\n\nLa fille que j'aimais ne m'a jamais aim�\nLes copains que j'avais m'ont tous abandonn�\nJe fais le tour du monde pour trouver le printemps\nMais comme la terre est ronde, �a peut durer longtemps\n\nMessieurs les noy�s de la Seine\nOuvrez-moi les portes de l'eau\nJe suis fatigu� de voir la d�gaine\nDes enfants trahis de Puteaux\n\nMessieurs les noy�s de la Seine\nParis me doit bien un berceau\nJe m'endormirai sans amour ni haine\nEntre ses bras de sable et d'eau",https://youtube.com/watch?v=U9O3sqlyra0,unknown,,,,,,,,,,,,
1956,de,Germany,Walter Andreas Schwarz,Im Wartesaal Zum Gro�en Gl�ck,2,,4,,2,,,,,,,,Walter Andreas Schwarz,,"Es gibt einen Hafen, da f�hrt kaum ein Schiff\nUnd wenn eines f�hrt, so in unbestimmte Fernen\nUnd es kommt, wenn es ankommt, von sehr weit schon her\nUnd einer steigt aus und der kommt �bers Meer\nMit gl�serner Fracht von den Sternen\n\nUnd man baute am Kai der Vergangenheit\nEinen Saal mit Blick auf das Meer\nUnd mit W�nden aus Tr�umen gegen die Wirklichkeit\nDenn die liebte man nicht sehr\n\nIm Wartesaal zum gro�en Gl�ck\nDa warten viele, viele Leute\nDie warten seit gestern auf das Gl�ck von morgen\nUnd leben mit W�nschen von �bermorgen\nUnd vergessen, es ist ja noch heute\nAch... die armen, armen Leute\n\nUnd sie blickten aufs Meer und sie sahen auch das Schiff\nGerade als es abfuhr in unbestimmte Fernen\nUnd sie jagten auf Tr�umen hinter ihm her\nUnd sahen ihn nicht, wie er kam �bers Meer\nMit gl�serner Fracht von den Sternen\n\nUnd er ging am Kai der Vergangenheit vorbei\nUnd die im Saal, die liess er einfach stehn\nGing grade aus in die Wirklichkeit\nUnd da hat man ihn l�cheln sehn\n\nIm Wartesaal zum gro�en Gl�ck\nDa warten viele, viele Leute\nDie warten seit gestern auf das Gl�ck von morgen\nUnd leben mit W�nschen von �bermorgen\nUnd vergessen, es ist ja noch heute\nHa... die armen, armen Leute\n\nUnd es fuhren am Morgen die Fischer hinaus\nUnd es gl�hte der Himmel bis in unbestimmte Fernen\nUnd da kam er gegangen und ihre Netze waren leer\nDoch da holte er f�r sie die Sonne aus dem Meer\nUnd trug sie empor zu den Sternen\n\nUnd sie gl�nzte weit durch die Wirklichkeit\nUnd es tanzten die Boote im Licht\nNur im Saal am Kai der Vergangenheit\nDa sah man die Sonne nicht\n\nIm Wartesaal zum gro�en Gl�ck\nDa warten viele, viele Leute\nDie warten seit gestern auf das Gl�ck von morgen\nUnd leben mit W�nschen von �bermorgen\nUnd vergessen, es ist ja noch heute\nTja... die armen Leute",https://youtube.com/watch?v=BDNARIDnmTc,male,,,,,,,,,,,,,
1956,fr,France,Math� Alt�ry,Le Temps Perdu,2,,5,,2,,,,,,,,Andr� Lodge,Rach�le Thoreau,"Chante, carillon\nLe chant du temps perdu\nChante ta chanson � mon c�ur �perdu\nMoi, je pleure celui que j'aime\n\nBerce dans le soir\nMon r�ve et mes sanglots\nVerse en moi l'espoir de le revoir bient�t\nH�te-toi, car j'attends toujours\n\nVienne le temps du bonheur\nLe temps d'amour qui seul peut calmer mon c�ur\n\nCoule le ruisseau\nVers la mer qui t'attend\nRoule dans tes eaux toute la vie du printemps\nMoi, toujours j'attends ton retour\n\nLes heures s'enfuient lentement dans la nuit\nChacune d'elles monotone sonne\nEt j'attends le jour, imaginant toujours\nQue tu me rendras ton amour un jour\n\nChante, carillon\nChante pour mon bonheur\nChante ta chanson, si l�g�re � mon c�ur\nChante aussi pour celui que j'aime\n\nBerce dans le soir\nNos �treintes d'amour\nVerse en moi l'espoir de le garder toujours\nChante, j'oublie le temps perdu\n\nSonne, mais sans te presser\nL'heure d'amour qui nous retient enlac�s\n\nCoule le ruisseau\nVers la mer qui t'attend\nRoule dans tes eaux toute la vie du printemps\nMoi, toujours j'attends ton retour",https://youtube.com/watch?v=dm1L0XyikKI,male,,,,,,,,,,,,,
1956,lu,Luxembourg,Mich�le Arnaud,Ne Crois Pas,2,,13,,2,,,,,,,,Christian Guitreau,,"Si on te dit qu't'a une belle gueule\nY a pas de quoi t'en vanter\nEt au lieu d'faire les belles gueules\nTu f'rais mieux d'en profiter\n\nNe crois pas que tout' ta vie\nOn t'aimera pour tes beaux yeux\nCar si ta gueule fait envie\nC'est qu't'es jeune et rien de mieux\n\nNe crois pas, ne crois pas\nQue tu s'ras toujours beau gosse\nNe crois pas, ne crois pas\nQue ta jeunesse durera\n\nTu seras comme tout le monde\nAvec le teint d�cati\nLe bidon en mappemonde\nEt tout's les dents desserties\n\nQuand t'auras le cr�ne bien lisse\nLe geste mal assur�\nEt le regard en coulisse\nT'iras de faire r�parer\n\nNe crois pas, ne crois pas\nQue tu s'ras toujours beau gosse\nNe crois pas, ne crois pas\nQue ta jeunesse durera\n\nTu t'crois malin\nA vouloir jouer les insondables\nLes intouchables\nDu d�but jusqu'� la Saint Glin-Glin\n\nC'est pas s�rieux\nLes Herm�s, Adonis, les Hercules\nQui d�ambulent\nSans songer qu'un jour ils seront vieux\n\nSi on te dit qu't'a une belle gueule\nY a pas de quoi t'en vanter\nEt au lieu d'faire les belles gueules\nTu f'rais mieux d'en profiter\n\nNe crois pas que tout' ta vie\nOn t'aimera pour tes beaux yeux\nCar si ta gueule fait envie\nC'est qu't'es jeune et rien de mieux\n\nNe crois pas, ne crois pas\nQue tu s'ras toujours beau gosse\nNe crois pas, ne crois pas\nQue ta jeunesse durera\n\nNe crois pas... ne crois pas...\nNe crois pas que ta jeunesse durera",https://youtube.com/watch?v=Pv7GJkqtNuc,female,,,,,,,,,,,,,
1956,it,Italy,Franca Raimondi,Aprite Le Finestre,2,,7,,2,,,,,,,,Virgilio Panzuti,Pinchi,"La prima rosa rossa � gi� sbocciata\nE nascon timide le viole mammole\nOrmai, la prima rondine � tornata:\nNel cielo limpido comincia a volteggiar\nIl tempo bello viene ad annunciar\n\nAprite le finestre al nuovo sole\n� primavera, � primavera\nLasciate entrare un poco d'aria pura\nCon il profumo dei giardini e i prati in fior\n\nAprite le finestre ai nuovi sogni\nBambine belle, innamorate\n� forse il pi� bel sogno che sognate\nSar� domani la felicit�:\n\nNel cielo fra le nuvole d'argento\nLa luna ha gi� fissato appuntamento\nAprite le finestre al nuovo sole\n� primavera, festa dell'amor\n\nLa la la la la la la la la la la\nAprite le finestre al nuovo sol\n\nSul davanzale un piccolo usignolo\nDall'ali tenere, le piume morbide\nHa gi� spiccato il timido suo volo\nE contro i vetri ha cominciato a picchiettar\nIl suo pi� bel messaggio vuol portar:\n\n� primavera, � primavera\n\nAprite le finestre ai nuovi sogni\nAlle speranze, all'illusione\nLasciate entrare l'ultima canzone\nChe dolcemente scender� nel cuor\n\nNel cielo fra le nuvole d'argento\nLa luna ha gi� fissato appuntamento\nAprite le finestre al nuovo sole\n� primavera, festa dell'amor\n\nLa la la la la la la la la la la\nAprite le finestra al primo amor",https://youtube.com/watch?v=HHA1mC2RkKc,female,,,,,,,,,,,,,
1956,nl,Netherlands,Corry Brokken,Voorgoed Voorbij,2,,8,,2,,,,,,,,Jelle de Vries,,"Voorgoed voorbij\nNu zijn we nooit meer samen\nM'n lieveling\nWat heb ik jou gedaan?\n\nVoorgoed voorbij\nGesloten zijn je ramen\nMaar net als toen\nZie ik viooltjes staan\n\nDe hele wereld geurt\nDe lentebloesem kleurt\nAch, waarom is er ieder jaar een nieuwe mei?\nDat is voor mij voorgoed voorbij\nDe lente van mijn leven\nDat lachend getij\n't Is alles voorbij\n\nVoor jou was het maar spel\nIk weet heel goed\nJe hebt het niet anders bedoeld\nMaar ik, ik meende 't wel\n'k Heb het maar al te diep gevoeld\n\nDe hele wereld geurt\nDe lentebloesem kleurt\nAch, waarom is er ieder jaar een nieuwe mei?\nDat is voor mij voorgoed voorbij\nDe lente van mijn leven\nDat lachend getij\n't Is alles voorbij",https://youtube.com/watch?v=6OjNzLaifFM,female,,,,,,,,,,,,,
1956,be,Belgium,Mony Marc,Le Plus Beau Jour De Ma Vie,2,,10,,2,,,,,,,,Claude Alix,David Bee,"Les cloches sonnent\nTout carillonne\nLe plus beau jour de ma vie\nAujourd'hui je me marie\nDing dong, ding dong\n\nSi maman pleure\nC'est bient�t l'heure\nEt papa m'offre le bras\nNous partons � petits pas\nDing dong, ding dong\n\nLes tout petits enfants me suivent gravement\nPortant ma robe sous mon voile blanc\nVoici mon Prince Charmant, il sourit tendrement\nJe m'avance vers lui le c�ur battant\n\nMinute br�ve comme en un r�ve\nNos deux �tres pleins d'amour\nVont �tre unis pour toujours\nDing dong, ding dong\n\nQuel instant �mouvant\nJe suis tout �tourdie\nPuis ta main sur ma main\nSimplement j'ai dit 'oui'\n\nOrgue en sourdine, tout s'illumine\nLe portail est large ouvert\nNous sortons sous le ciel clair\nDing dong, ding dong\n\nOn nous admire et j'entends dire\n""Regardez, elle est jolie""\n""Comme ils sont bien assortis""\nDing dong, ding dong\n\nUn doux bonheur m'�treint tandis que sur ma main\nTes yeux caressent mon anneau d'or fin\nL'espace d'un instant, je refais le serment\nDe vivre pour t'aimer fid�lement\n\nLes cloches sonnent\nTout carillonne\nPour que jamais je n'oublie\nLe plus beau jour de ma vie\nDing dong, ding dong",https://youtube.com/watch?v=dL139DezFwo,female,,,,,,,,,,,,,
1956,de,Germany,Freddy Quinn,So Geht Das Jede Nacht,2,,11,,2,,,,,,,,Lothar Olias,Peter M�sser,"Am Sonntag mit Jimmy, am Montag mit Jack\nAm Dienstag, da gehst du mit Johnny weg\n\nSo geht das jede Nacht (So geht das jede Nacht)\nSo geht das jede Nacht (So geht das jede Nacht)\nDas h�tt ich nie, nie, nie von dir gedacht\n\nIch schenk dir Blumen und fahr dich ins B�ro\nF�hr deine Mutter jeden Sonntag in den Zoo\nDoch dich bringt am Mittwoch der Billy nach Haus\nAm Donnerstag gehst du mit Tommy aus\n\nSo geht das jede Nacht (So geht das jede Nacht)\nSo geht das jede Nacht (So geht das jede Nacht)\nDas h�tt ich nie, nie, nie von dir gedacht\n\nIch hab dich damals als Baby schon geliebt\nJetzt hab ich Boogie und den Cha Cha Cha ge�bt\nDoch du tanzt am Freitag, am Freitag mit Ben\nSamstag mit einem, den ich nicht mal kenn\n\nSo geht das jede Nacht (So geht das jede Nacht)\nSo geht das jede Nacht (So geht das jede Nacht)\nDas h�tt ich nie, nie, nie von dir gedacht\n\nDoch wenn du gedacht hast, ich sitze zuhaus\nIch geh jeden Tag mit 'ner andren aus\n\nSo geht das jede Nacht (So geht das jede Nacht)\nSo geht das jede Nacht (So geht das jede Nacht)\nDas h�tt'st du nie, nie, nie von mir gedacht",https://youtube.com/watch?v=DJFGwPVKfyk,male,,,,,,,,,,,,,
